# compactc 0.34.0 --feature-zkir-v3 --skip-zk (runtime 0.19.0, ledger-9.1.0.0-rc.3); zkir-v3 3.0.0-rc.2 mock-compile -v
contract	circuit	k	rows	table_rows	advice_columns	fixed_columns	lookups
emitter	emitPart	17	86450	106755	8	43	6
registry-emitter	emitPart	17	86473	106755	8	43	6
registry-emitter	register1	14	12038	7933	8	43	6
registry-emitter	register2	15	20089	7933	8	43	6
registry-emitter	register3	15	26292	7933	8	43	6
registry-emitter	release	13	3979	7933	8	43	6
registry-sizes	register1	14	12038	7933	8	43	6
registry-sizes	register16	17	119867	7933	8	43	6
registry-sizes	register2	15	20089	7933	8	43	6
registry-sizes	register3	15	26292	7933	8	43	6
registry-sizes	register32	18	233899	7933	8	43	6
registry-sizes	register4	16	34343	7933	8	43	6
registry-sizes	register46	19	333677	7933	8	43	6
registry-sizes	register8	16	62851	7933	8	43	6
